device,baseline_hour,baseline_price_eur_kwh,energy_kwh,baseline_cost_eur,recommended_hour,price_eur_kwh,estimated_cost_eur,date,savings_eur,savings_pct
Secadora,20,0.2009,2.0,0.4019,16,0.0728,0.1457,2023-05-26,0.2562,63.74720079621796
Termo eléctrico,20,0.2009,2.5,0.5024,4,0.0988,0.2471,2023-05-26,0.25529999999999997,50.81608280254777
Lavadora,20,0.1367,1.0,0.1367,16,0.0897,0.0897,2023-05-27,0.046999999999999986,34.381858083394285
Lavavajillas,20,0.1367,1.3,0.1777,17,0.0913,0.1187,2023-05-27,0.059,33.202025886325266
Secadora,20,0.1367,2.0,0.2735,15,0.0931,0.1862,2023-05-27,0.08730000000000002,31.91956124314443
Termo eléctrico,20,0.1367,2.5,0.3418,14,0.0986,0.2464,2023-05-27,0.09539999999999998,27.911059098888234
Lavadora,20,0.139,1.0,0.139,16,0.0836,0.0836,2023-05-28,0.05540000000000002,39.85611510791368
Lavavajillas,20,0.139,1.3,0.1807,17,0.0855,0.1112,2023-05-28,0.0695,38.46153846153847
Secadora,20,0.139,2.0,0.278,15,0.0866,0.1733,2023-05-28,0.10470000000000002,37.66187050359712
Termo eléctrico,20,0.139,2.5,0.3476,18,0.0934,0.2334,2023-05-28,0.11420000000000002,32.85385500575374
Lavadora,20,0.2324,1.0,0.2324,16,0.1408,0.1408,2023-05-29,0.09159999999999999,39.41480206540447
Lavavajillas,20,0.2324,1.3,0.3022,15,0.142,0.1846,2023-05-29,0.11760000000000004,38.91462607544673
Secadora,20,0.2324,2.0,0.4649,17,0.1422,0.2845,2023-05-29,0.1804,38.80404388040439
Termo eléctrico,20,0.2324,2.5,0.5811,2,0.1253,0.3132,2023-05-29,0.26789999999999997,46.10221992772328
Lavadora,20,0.2124,1.0,0.2124,15,0.1328,0.1328,2023-05-30,0.0796,37.47645951035782
Lavavajillas,20,0.2124,1.3,0.2761,16,0.1332,0.1731,2023-05-30,0.10300000000000001,37.3053241579138
Secadora,20,0.2124,2.0,0.4248,14,0.1385,0.2769,2023-05-30,0.14790000000000003,34.81638418079097
Termo eléctrico,20,0.2124,2.5,0.531,1,0.1212,0.3031,2023-05-30,0.22790000000000005,42.91902071563089
Lavadora,20,0.2124,1.0,0.2124,15,0.1228,0.1228,2023-05-31,0.0896,42.18455743879473
Lavavajillas,20,0.2124,1.3,0.2761,16,0.1232,0.1602,2023-05-31,0.1159,41.97754436798262
Secadora,20,0.2124,2.0,0.4248,14,0.1241,0.2481,2023-05-31,0.17670000000000002,41.59604519774012
Termo eléctrico,20,0.2124,2.5,0.531,4,0.1252,0.313,2023-05-31,0.21800000000000003,41.05461393596987
Lavadora,20,0.2085,1.0,0.2085,16,0.1225,0.1225,2023-06-01,0.086,41.247002398081534
Lavavajillas,20,0.2085,1.3,0.271,15,0.1236,0.1606,2023-06-01,0.11040000000000003,40.73800738007381
Secadora,20,0.2085,2.0,0.4169,14,0.1249,0.2499,2023-06-01,0.16699999999999998,40.057567762053246
Termo eléctrico,20,0.2085,2.5,0.5212,5,0.1132,0.283,2023-06-01,0.23820000000000002,45.702225633154264
Lavadora,20,0.206,1.0,0.206,7,0.1251,0.1251,2023-06-02,0.0809,39.271844660194176
Lavavajillas,20,0.206,1.3,0.2677,15,0.1336,0.1737,2023-06-02,0.094,35.113933507657826
Secadora,20,0.206,2.0,0.4119,14,0.1339,0.2678,2023-06-02,0.1441,34.98421947074533
Termo eléctrico,20,0.206,2.5,0.5149,4,0.11,0.2751,2023-06-02,0.2398,46.57214993202564
Lavadora,20,0.1142,1.0,0.1142,15,0.0859,0.0859,2023-06-03,0.028299999999999992,24.781085814360765
Lavavajillas,20,0.1142,1.3,0.1484,16,0.086,0.1118,2023-06-03,0.03660000000000001,24.66307277628033
Secadora,20,0.1142,2.0,0.2283,12,0.0867,0.1734,2023-06-03,0.054900000000000004,24.047306176084103
Termo eléctrico,20,0.1142,2.5,0.2854,13,0.089,0.2226,2023-06-03,0.0628,22.004204625087596
Lavadora,20,0.1235,1.0,0.1235,11,0.0535,0.0535,2023-06-04,0.07,56.68016194331984
Lavavajillas,20,0.1235,1.3,0.1605,12,0.0539,0.0701,2023-06-04,0.09040000000000001,56.32398753894081
Secadora,20,0.1235,2.0,0.2469,10,0.0552,0.1104,2023-06-04,0.1365,55.285540704738764
Termo eléctrico,20,0.1235,2.5,0.3086,15,0.0598,0.1494,2023-06-04,0.15919999999999998,51.58781594296824
Lavadora,20,0.2071,1.0,0.2071,14,0.1196,0.1196,2023-06-05,0.08750000000000001,42.25012071463062
Lavavajillas,20,0.2071,1.3,0.2692,15,0.1218,0.1584,2023-06-05,0.11079999999999998,41.15898959881129
Secadora,20,0.2071,2.0,0.4142,16,0.1303,0.2605,2023-06-05,0.1537,37.107677450507
Termo eléctrico,20,0.2071,2.5,0.5178,5,0.1198,0.2995,2023-06-05,0.21830000000000005,42.15913480108151
Lavadora,20,0.2063,1.0,0.2063,14,0.1219,0.1219,2023-06-06,0.08440000000000002,40.91129423170141
Lavavajillas,20,0.2063,1.3,0.2681,15,0.1265,0.1644,2023-06-06,0.10370000000000001,38.679597165236856
Secadora,20,0.2063,2.0,0.4125,16,0.13,0.2601,2023-06-06,0.15239999999999998,36.945454545454545
Termo eléctrico,20,0.2063,2.5,0.5156,5,0.1139,0.2848,2023-06-06,0.23079999999999995,44.7633824670287
Lavadora,20,0.2106,1.0,0.2106,7,0.1277,0.1277,2023-06-07,0.0829,39.36372269705603
Lavavajillas,20,0.2106,1.3,0.2738,14,0.134,0.1742,2023-06-07,0.0996,36.37691745799854
Secadora,20,0.2106,2.0,0.4213,16,0.1349,0.2698,2023-06-07,0.15150000000000002,35.96012342748636
Termo eléctrico,20,0.2106,2.5,0.5266,4,0.1007,0.2518,2023-06-07,0.27479999999999993,52.18382073680212
Lavadora,20,0.2049,1.0,0.2049,14,0.1175,0.1175,2023-06-08,0.0874,42.65495363591996
Lavavajillas,20,0.2049,1.3,0.2664,15,0.1241,0.1613,2023-06-08,0.10510000000000003,39.451951951951955
Secadora,20,0.2049,2.0,0.4098,16,0.1275,0.255,2023-06-08,0.1548,37.774524158125914
Termo eléctrico,20,0.2049,2.5,0.5122,5,0.1075,0.2688,2023-06-08,0.2434,47.520499804763766
Lavadora,20,0.2105,1.0,0.2105,16,0.1158,0.1158,2023-06-09,0.09469999999999999,44.988123515439426
Lavavajillas,20,0.2105,1.3,0.2736,15,0.116,0.1509,2023-06-09,0.1227,44.84649122807017
Secadora,20,0.2105,2.0,0.4209,14,0.1183,0.2366,2023-06-09,0.1843,43.78712283202661
Termo eléctrico,20,0.2105,2.5,0.5262,4,0.1123,0.2806,2023-06-09,0.24559999999999998,46.67426833903458
Lavadora,20,0.129,1.0,0.129,16,0.0759,0.0759,2023-06-10,0.05310000000000001,41.162790697674424
Lavavajillas,20,0.129,1.3,0.1678,15,0.0769,0.1,2023-06-10,0.0678,40.40524433849821
Secadora,20,0.129,2.0,0.2581,14,0.0824,0.1648,2023-06-10,0.0933,36.14877954281286
Termo eléctrico,20,0.129,2.5,0.3226,17,0.086,0.215,2023-06-10,0.1076,33.3539987600744
Lavadora,20,0.1407,1.0,0.1407,16,0.0396,0.0396,2023-06-11,0.1011,71.85501066098081
Lavavajillas,20,0.1407,1.3,0.1829,14,0.0432,0.0561,2023-06-11,0.12680000000000002,69.32750136686715
Secadora,20,0.1407,2.0,0.2813,12,0.044,0.0881,2023-06-11,0.19319999999999998,68.68112335584784
Termo eléctrico,20,0.1407,2.5,0.3516,15,0.0441,0.1102,2023-06-11,0.2414,68.65756541524459
Lavadora,20,0.2147,1.0,0.2147,15,0.1326,0.1326,2023-06-12,0.0821,38.23940381928273
Lavavajillas,20,0.2147,1.3,0.2791,16,0.1333,0.1733,2023-06-12,0.1058,37.90756001433178
Secadora,20,0.2147,2.0,0.4294,14,0.1353,0.2706,2023-06-12,0.1588,36.98183511877038
Termo eléctrico,20,0.2147,2.5,0.5367,3,0.1166,0.2915,2023-06-12,0.24519999999999997,45.68660331656419
Lavadora,20,0.2088,1.0,0.2088,15,0.1245,0.1245,2023-06-13,0.08430000000000001,40.37356321839081
Lavavajillas,20,0.2088,1.3,0.2715,14,0.1276,0.1659,2023-06-13,0.10560000000000003,38.8950276243094
Secadora,20,0.2088,2.0,0.4177,16,0.1277,0.2555,2023-06-13,0.1622,38.83169739047163
Termo eléctrico,20,0.2088,2.5,0.5221,5,0.1278,0.3195,2023-06-13,0.2026,38.80482666155909
Lavadora,20,0.2075,1.0,0.2075,14,0.1234,0.1234,2023-06-14,0.0841,40.53012048192771
Lavavajillas,20,0.2075,1.3,0.2698,16,0.124,0.1612,2023-06-14,0.10859999999999997,40.2520385470719
Secadora,20,0.2075,2.0,0.415,15,0.124,0.248,2023-06-14,0.16699999999999998,40.24096385542168
Termo eléctrico,20,0.2075,2.5,0.5188,2,0.1225,0.3062,2023-06-14,0.2126,40.97918272937548
Lavadora,20,0.2168,1.0,0.2168,7,0.1454,0.1454,2023-06-15,0.07139999999999999,32.933579335793354
Lavavajillas,20,0.2168,1.3,0.2819,14,0.1493,0.1942,2023-06-15,0.08769999999999997,31.110322809506908
Secadora,20,0.2168,2.0,0.4337,15,0.1527,0.3054,2023-06-15,0.12829999999999997,29.58266082545538
Termo eléctrico,20,0.2168,2.5,0.5421,5,0.1361,0.3402,2023-06-15,0.20190000000000002,37.244050913115665
Lavadora,20,0.2487,1.0,0.2487,16,0.1587,0.1587,2023-06-16,0.09,36.1881785283474
Lavavajillas,20,0.2487,1.3,0.3234,15,0.1592,0.2069,2023-06-16,0.11650000000000002,36.023500309214604
Secadora,20,0.2487,2.0,0.4975,17,0.1621,0.3243,2023-06-16,0.17320000000000002,34.814070351758794
Termo eléctrico,20,0.2487,2.5,0.6218,4,0.1542,0.3856,2023-06-16,0.23620000000000002,37.9864908330653
Lavadora,20,0.1752,1.0,0.1752,14,0.0672,0.0672,2023-06-17,0.108,61.64383561643836
Lavavajillas,20,0.1752,1.3,0.2277,13,0.0769,0.1,2023-06-17,0.1277,56.08256477821695
Secadora,20,0.1752,2.0,0.3503,16,0.0793,0.1586,2023-06-17,0.1917,54.72452183842421
Termo eléctrico,20,0.1752,2.5,0.4379,15,0.0856,0.214,2023-06-17,0.22390000000000002,51.13039506736698
Lavadora,20,0.1658,1.0,0.1658,14,0.0529,0.0529,2023-06-18,0.1129,68.0940892641737
Lavavajillas,20,0.1658,1.3,0.2155,13,0.0577,0.075,2023-06-18,0.1405,65.19721577726219
Secadora,20,0.1658,2.0,0.3316,12,0.0767,0.1533,2023-06-18,0.17830000000000001,53.769601930036195
Termo eléctrico,20,0.1658,2.5,0.4145,15,0.08,0.2001,2023-06-18,0.21439999999999998,51.72496984318455
Lavadora,20,0.2415,1.0,0.2415,15,0.1454,0.1454,2023-06-19,0.09609999999999999,39.79296066252588
Lavavajillas,20,0.2415,1.3,0.3139,16,0.1456,0.1893,2023-06-19,0.12460000000000002,39.694170117871934
Secadora,20,0.2415,2.0,0.483,14,0.1456,0.2913,2023-06-19,0.19169999999999998,39.689440993788814
Termo eléctrico,20,0.2415,2.5,0.6037,4,0.1304,0.326,2023-06-19,0.2777,45.99966870962399
Lavadora,20,0.2375,1.0,0.2375,15,0.1468,0.1468,2023-06-20,0.09069999999999998,38.18947368421052
Lavavajillas,20,0.2375,1.3,0.3088,16,0.1471,0.1912,2023-06-20,0.11760000000000001,38.082901554404145
Secadora,20,0.2375,2.0,0.475,17,0.1527,0.3055,2023-06-20,0.16949999999999998,35.68421052631579
Termo eléctrico,20,0.2375,2.5,0.5938,5,0.1368,0.3421,2023-06-20,0.2517,42.38800943078477
Lavadora,20,0.2471,1.0,0.2471,14,0.155,0.155,2023-06-21,0.09209999999999999,37.272359368676646
Lavavajillas,20,0.2471,1.3,0.3212,15,0.1599,0.2079,2023-06-21,0.11329999999999998,35.273972602739725
Secadora,20,0.2471,2.0,0.4942,16,0.1611,0.3223,2023-06-21,0.1719,34.78348846620801
Termo eléctrico,20,0.2471,2.5,0.6177,4,0.1438,0.3596,2023-06-21,0.25810000000000005,41.784037558685455
Lavadora,20,0.2562,1.0,0.2562,16,0.1514,0.1514,2023-06-22,0.10479999999999998,40.9055425448868
Lavavajillas,20,0.2562,1.3,0.333,17,0.1519,0.1975,2023-06-22,0.1355,40.69069069069069
Secadora,20,0.2562,2.0,0.5123,15,0.1519,0.3038,2023-06-22,0.20849999999999996,40.6988092914308
Termo eléctrico,20,0.2562,2.5,0.6404,14,0.1573,0.3932,2023-06-22,0.24719999999999998,38.60087445346658
Lavadora,20,0.2507,1.0,0.2507,14,0.1412,0.1412,2023-06-23,0.10949999999999999,43.67770243318708
Lavavajillas,20,0.2507,1.3,0.3259,15,0.1413,0.1837,2023-06-23,0.14220000000000002,43.63301626265726
Secadora,20,0.2507,2.0,0.5014,16,0.1508,0.3016,2023-06-23,0.19979999999999998,39.848424411647386
Termo eléctrico,20,0.2507,2.5,0.6268,4,0.1352,0.338,2023-06-23,0.2888,46.07530312699426
Lavadora,20,0.1536,1.0,0.1536,15,0.0319,0.0319,2023-06-24,0.12169999999999999,79.23177083333334
Lavavajillas,20,0.1536,1.3,0.1997,12,0.0428,0.0556,2023-06-24,0.1441,72.15823735603406
Secadora,20,0.1536,2.0,0.3072,13,0.0482,0.0965,2023-06-24,0.21069999999999997,68.58723958333333
Termo eléctrico,20,0.1536,2.5,0.384,11,0.0486,0.1216,2023-06-24,0.2624,68.33333333333333
Lavadora,20,0.1438,1.0,0.1438,15,0.0286,0.0286,2023-06-25,0.11520000000000001,80.11126564673158
Lavavajillas,20,0.1438,1.3,0.1869,12,0.0297,0.0386,2023-06-25,0.14830000000000002,79.34724451578384
Secadora,20,0.1438,2.0,0.2875,11,0.0306,0.0612,2023-06-25,0.22629999999999997,78.71304347826087
Termo eléctrico,20,0.1438,2.5,0.3594,14,0.0345,0.0863,2023-06-25,0.2731,75.98775737340011
Lavadora,20,0.224,1.0,0.224,15,0.1271,0.1271,2023-06-26,0.09690000000000001,43.25892857142858
Lavavajillas,20,0.224,1.3,0.2912,16,0.1275,0.1657,2023-06-26,0.12550000000000003,43.09752747252748
Secadora,20,0.224,2.0,0.448,14,0.1279,0.2558,2023-06-26,0.19219999999999998,42.90178571428571
Termo eléctrico,20,0.224,2.5,0.5599,3,0.1215,0.3037,2023-06-26,0.25619999999999993,45.758171101982484
Lavadora,20,0.2299,1.0,0.2299,15,0.1412,0.1412,2023-06-27,0.0887,38.58199217050892
Lavavajillas,20,0.2299,1.3,0.2989,14,0.1425,0.1852,2023-06-27,0.1137,38.03947808631649
Secadora,20,0.2299,2.0,0.4599,16,0.1492,0.2985,2023-06-27,0.1614,35.09458577951728
Termo eléctrico,20,0.2299,2.5,0.5748,4,0.1254,0.3134,2023-06-27,0.26139999999999997,45.476687543493384
Lavadora,20,0.2326,1.0,0.2326,7,0.1482,0.1482,2023-06-28,0.0844,36.28546861564919
Lavavajillas,20,0.2326,1.3,0.3024,14,0.1521,0.1977,2023-06-28,0.10470000000000002,34.62301587301588
Secadora,20,0.2326,2.0,0.4653,15,0.1525,0.305,2023-06-28,0.1603,34.45089189770041
Termo eléctrico,20,0.2326,2.5,0.5816,2,0.1246,0.3115,2023-06-28,0.2701,46.440852819807425
Lavadora,20,0.2065,1.0,0.2065,17,0.1426,0.1426,2023-06-29,0.06389999999999998,30.94430992736077
Lavavajillas,20,0.2065,1.3,0.2685,16,0.143,0.1859,2023-06-29,0.0826,30.763500931098697
Secadora,20,0.2065,2.0,0.413,15,0.1441,0.2882,2023-06-29,0.12479999999999997,30.217917675544786
Termo eléctrico,20,0.2065,2.5,0.5163,4,0.134,0.3351,2023-06-29,0.18119999999999997,35.09587449157466
Lavadora,20,0.2304,1.0,0.2304,17,0.1369,0.1369,2023-06-30,0.0935,40.58159722222222
Lavavajillas,20,0.2304,1.3,0.2995,15,0.1386,0.1801,2023-06-30,0.11939999999999998,39.86644407345575
Secadora,20,0.2304,2.0,0.4607,16,0.1388,0.2776,2023-06-30,0.18309999999999998,39.74386802691556
Termo eléctrico,20,0.2304,2.5,0.5759,4,0.1207,0.3018,2023-06-30,0.27409999999999995,47.59506858829658
Lavadora,20,0.1306,1.0,0.1306,15,0.0268,0.0268,2023-07-01,0.10379999999999999,79.47932618683001
Lavavajillas,20,0.1306,1.3,0.1698,16,0.0269,0.0349,2023-07-01,0.13490000000000002,79.44640753828034
Secadora,20,0.1306,2.0,0.2613,14,0.0289,0.0577,2023-07-01,0.20359999999999998,77.91810179869881
Termo eléctrico,20,0.1306,2.5,0.3266,17,0.0294,0.0736,2023-07-01,0.253,77.46478873239437
Lavadora,20,0.1536,1.0,0.1536,17,0.045,0.045,2023-07-02,0.10859999999999999,70.703125
Lavavajillas,20,0.1536,1.3,0.1997,11,0.0452,0.0587,2023-07-02,0.141,70.60590886329494
Secadora,20,0.1536,2.0,0.3072,13,0.046,0.092,2023-07-02,0.21519999999999997,70.05208333333333
Termo eléctrico,20,0.1536,2.5,0.384,12,0.0497,0.1242,2023-07-02,0.25980000000000003,67.65625
Lavadora,20,0.2404,1.0,0.2404,16,0.146,0.146,2023-07-03,0.09440000000000001,39.267886855241265
Lavavajillas,20,0.2404,1.3,0.3125,15,0.1481,0.1926,2023-07-03,0.1199,38.368
Secadora,20,0.2404,2.0,0.4808,17,0.1537,0.3073,2023-07-03,0.1735,36.08569051580698
Termo eléctrico,20,0.2404,2.5,0.601,2,0.1548,0.3869,2023-07-03,0.21409999999999996,35.62396006655573
Lavadora,20,0.2446,1.0,0.2446,16,0.1405,0.1405,2023-07-04,0.1041,42.55928045789043
Lavavajillas,20,0.2446,1.3,0.318,15,0.1406,0.1828,2023-07-04,0.13520000000000001,42.515723270440255
Secadora,20,0.2446,2.0,0.4893,14,0.144,0.2881,2023-07-04,0.2012,41.11996730022481
Termo eléctrico,20,0.2446,2.5,0.6116,4,0.1505,0.3762,2023-07-04,0.23540000000000005,38.48920863309353
Lavadora,20,0.2393,1.0,0.2393,16,0.1473,0.1473,2023-07-05,0.09200000000000003,38.44546594233181
Lavavajillas,20,0.2393,1.3,0.3111,15,0.1483,0.1928,2023-07-05,0.11829999999999999,38.02635808421729
Secadora,20,0.2393,2.0,0.4786,17,0.1501,0.3002,2023-07-05,0.1784,37.27538654408692
Termo eléctrico,20,0.2393,2.5,0.5982,4,0.129,0.3226,2023-07-05,0.27559999999999996,46.071547977265126
Lavadora,20,0.2431,1.0,0.2431,15,0.1413,0.1413,2023-07-06,0.1018,41.87577128753599
Lavavajillas,20,0.2431,1.3,0.3161,14,0.1429,0.1857,2023-07-06,0.1304,41.25276811135716
Secadora,20,0.2431,2.0,0.4862,16,0.1444,0.2888,2023-07-06,0.19740000000000002,40.60057589469354
Termo eléctrico,20,0.2431,2.5,0.6078,3,0.1451,0.3627,2023-07-06,0.24509999999999998,40.32576505429417
Lavadora,20,0.2282,1.0,0.2282,14,0.1193,0.1193,2023-07-07,0.10889999999999998,47.72129710780017
Lavavajillas,20,0.2282,1.3,0.2967,15,0.121,0.1573,2023-07-07,0.13940000000000002,46.98348500168521
Secadora,20,0.2282,2.0,0.4565,17,0.1387,0.2774,2023-07-07,0.17910000000000004,39.23329682365828
Termo eléctrico,20,0.2282,2.5,0.5706,16,0.1388,0.347,2023-07-07,0.22360000000000002,39.186820890290925
Lavadora,20,0.1706,1.0,0.1706,14,0.0624,0.0624,2023-07-08,0.1082,63.4232121922626
Lavavajillas,20,0.1706,1.3,0.2218,15,0.0677,0.088,2023-07-08,0.1338,60.324616771866545
Secadora,20,0.1706,2.0,0.3412,13,0.0696,0.1391,2023-07-08,0.2021,59.23212192262602
Termo eléctrico,20,0.1706,2.5,0.4266,12,0.0777,0.1942,2023-07-08,0.23239999999999997,54.477262072198776
Lavadora,20,0.168,1.0,0.168,13,0.0693,0.0693,2023-07-09,0.09870000000000001,58.75
Lavavajillas,20,0.168,1.3,0.2184,14,0.0738,0.096,2023-07-09,0.12240000000000001,56.043956043956044
Secadora,20,0.168,2.0,0.336,12,0.0787,0.1574,2023-07-09,0.1786,53.154761904761905
Termo eléctrico,20,0.168,2.5,0.42,11,0.0807,0.2017,2023-07-09,0.2183,51.976190476190474
Lavadora,20,0.2453,1.0,0.2453,16,0.1435,0.1435,2023-07-10,0.1018,41.500203832042395
Lavavajillas,20,0.2453,1.3,0.3188,14,0.1469,0.1909,2023-07-10,0.12789999999999999,40.11919698870765
Secadora,20,0.2453,2.0,0.4905,15,0.1474,0.2949,2023-07-10,0.1956,39.8776758409786
Termo eléctrico,20,0.2453,2.5,0.6131,3,0.1283,0.3206,2023-07-10,0.2925,47.708367313651934
Lavadora,20,0.2384,1.0,0.2384,15,0.1444,0.1444,2023-07-11,0.094,39.42953020134228
Lavavajillas,20,0.2384,1.3,0.3099,16,0.1461,0.1899,2023-07-11,0.12,38.72216844143272
Secadora,20,0.2384,2.0,0.4768,14,0.1476,0.2953,2023-07-11,0.1815,38.066275167785236
Termo eléctrico,20,0.2384,2.5,0.596,4,0.1372,0.343,2023-07-11,0.25299999999999995,42.449664429530195
Lavadora,20,0.2291,1.0,0.2291,16,0.1422,0.1422,2023-07-12,0.0869,37.931034482758626
Lavavajillas,20,0.2291,1.3,0.2978,15,0.1441,0.1873,2023-07-12,0.11050000000000001,37.10543989254534
Secadora,20,0.2291,2.0,0.4582,17,0.145,0.2901,2023-07-12,0.16809999999999997,36.68703622872108
Termo eléctrico,20,0.2291,2.5,0.5728,2,0.125,0.3125,2023-07-12,0.2603,45.44343575418994
Lavadora,20,0.2426,1.0,0.2426,16,0.1445,0.1445,2023-07-13,0.09810000000000002,40.43693322341303
Lavavajillas,20,0.2426,1.3,0.3154,15,0.1452,0.1887,2023-07-13,0.1267,40.1712111604312
Secadora,20,0.2426,2.0,0.4853,14,0.1454,0.2908,2023-07-13,0.1945,40.0783020811869
Termo eléctrico,20,0.2426,2.5,0.6066,2,0.1235,0.3088,2023-07-13,0.2978,49.09330695680844
Lavadora,20,0.2089,1.0,0.2089,16,0.0967,0.0967,2023-07-14,0.11220000000000001,53.7099090473911
Lavavajillas,20,0.2089,1.3,0.2715,15,0.1031,0.134,2023-07-14,0.1375,50.64456721915286
Secadora,20,0.2089,2.0,0.4177,14,0.1096,0.2192,2023-07-14,0.1985,47.5221450802011
Termo eléctrico,20,0.2089,2.5,0.5222,17,0.1103,0.2758,2023-07-14,0.2464,47.184986595174266
Lavadora,20,0.1281,1.0,0.1281,16,0.0194,0.0194,2023-07-15,0.10869999999999999,84.85558157689304
Lavavajillas,20,0.1281,1.3,0.1666,14,0.0223,0.029,2023-07-15,0.1376,82.59303721488595
Secadora,20,0.1281,2.0,0.2562,15,0.0223,0.0447,2023-07-15,0.2115,82.55269320843091
Termo eléctrico,20,0.1281,2.5,0.3203,17,0.0229,0.0572,2023-07-15,0.2631,82.14174211676554
Lavadora,20,0.1384,1.0,0.1384,16,0.0402,0.0402,2023-07-16,0.0982,70.95375722543352
Lavavajillas,20,0.1384,1.3,0.1799,17,0.0403,0.0524,2023-07-16,0.1275,70.87270705947749
Secadora,20,0.1384,2.0,0.2768,15,0.0453,0.0907,2023-07-16,0.1861,67.23265895953757
Termo eléctrico,20,0.1384,2.5,0.346,14,0.0508,0.127,2023-07-16,0.21899999999999997,63.29479768786127
Lavadora,20,0.2216,1.0,0.2216,16,0.1274,0.1274,2023-07-17,0.09419999999999998,42.509025270758116
Lavavajillas,20,0.2216,1.3,0.2881,15,0.1275,0.1658,2023-07-17,0.12230000000000002,42.45053800763624
Secadora,20,0.2216,2.0,0.4432,14,0.1279,0.2557,2023-07-17,0.1875,42.30595667870036
Termo eléctrico,20,0.2216,2.5,0.554,5,0.1057,0.2643,2023-07-17,0.28970000000000007,52.29241877256319
Lavadora,20,0.218,1.0,0.218,14,0.1353,0.1353,2023-07-18,0.0827,37.93577981651376
Lavavajillas,20,0.218,1.3,0.2834,15,0.1358,0.1765,2023-07-18,0.1069,37.72053634438956
Secadora,20,0.218,2.0,0.436,16,0.1392,0.2783,2023-07-18,0.1577,36.169724770642205
Termo eléctrico,20,0.218,2.5,0.545,4,0.1233,0.3084,2023-07-18,0.23660000000000003,43.41284403669725
Lavadora,20,0.2099,1.0,0.2099,17,0.131,0.131,2023-07-19,0.0789,37.58932825154835
Lavavajillas,20,0.2099,1.3,0.2729,16,0.1318,0.1713,2023-07-19,0.10159999999999997,37.22975448882374
Secadora,20,0.2099,2.0,0.4198,15,0.1358,0.2715,2023-07-19,0.1483,35.32634587898999
Termo eléctrico,20,0.2099,2.5,0.5247,4,0.1243,0.3108,2023-07-19,0.21390000000000003,40.76615208690681
Lavadora,20,0.2107,1.0,0.2107,15,0.131,0.131,2023-07-20,0.0797,37.82629330802088
Lavavajillas,20,0.2107,1.3,0.2739,14,0.1315,0.171,2023-07-20,0.10289999999999996,37.56845564074479
Secadora,20,0.2107,2.0,0.4213,16,0.1332,0.2663,2023-07-20,0.15500000000000003,36.79088535485403
Termo eléctrico,20,0.2107,2.5,0.5267,2,0.124,0.3099,2023-07-20,0.21679999999999994,41.161951775204095
Lavadora,20,0.211,1.0,0.211,17,0.1299,0.1299,2023-07-21,0.0811,38.43601895734597
Lavavajillas,20,0.211,1.3,0.2743,16,0.131,0.1703,2023-07-21,0.10399999999999998,37.91469194312796
Secadora,20,0.211,2.0,0.422,15,0.1332,0.2664,2023-07-21,0.15559999999999996,36.87203791469194
Termo eléctrico,20,0.211,2.5,0.5276,2,0.1186,0.2966,2023-07-21,0.23099999999999998,43.783169067475356
Lavadora,20,0.1523,1.0,0.1523,16,0.1021,0.1021,2023-07-22,0.050199999999999995,32.96126066973079
Lavavajillas,20,0.1523,1.3,0.198,11,0.1034,0.1345,2023-07-22,0.0635,32.07070707070707
Secadora,20,0.1523,2.0,0.3046,12,0.1035,0.2071,2023-07-22,0.09749999999999998,32.00919238345371
Termo eléctrico,20,0.1523,2.5,0.3808,15,0.1035,0.2588,2023-07-22,0.12200000000000005,32.03781512605043
Lavadora,20,0.1292,1.0,0.1292,16,0.0255,0.0255,2023-07-23,0.10370000000000001,80.26315789473685
Lavavajillas,20,0.1292,1.3,0.1679,15,0.0256,0.0332,2023-07-23,0.1347,80.22632519356759
Secadora,20,0.1292,2.0,0.2584,13,0.026,0.0519,2023-07-23,0.20650000000000002,79.91486068111455
Termo eléctrico,20,0.1292,2.5,0.323,14,0.026,0.0649,2023-07-23,0.2581,79.90712074303406
Lavadora,20,0.2109,1.0,0.2109,16,0.1229,0.1229,2023-07-24,0.08800000000000001,41.72593646277857
Lavavajillas,20,0.2109,1.3,0.2742,15,0.1249,0.1624,2023-07-24,0.11180000000000001,40.77315827862874
Secadora,20,0.2109,2.0,0.4219,17,0.125,0.2499,2023-07-24,0.172,40.76795449158568
Termo eléctrico,20,0.2109,2.5,0.5273,4,0.1203,0.3008,2023-07-24,0.22649999999999998,42.95467475820216
Lavadora,20,0.2202,1.0,0.2202,16,0.1288,0.1288,2023-07-25,0.09140000000000001,41.507720254314265
Lavavajillas,20,0.2202,1.3,0.2863,15,0.1292,0.1679,2023-07-25,0.1184,41.35522179531959
Secadora,20,0.2202,2.0,0.4404,17,0.1302,0.2604,2023-07-25,0.18,40.87193460490463
Termo eléctrico,20,0.2202,2.5,0.5505,4,0.1247,0.3118,2023-07-25,0.23869999999999997,43.3605812897366
Lavadora,20,0.2311,1.0,0.2311,16,0.146,0.146,2023-07-26,0.08510000000000001,36.823885763738645
Lavavajillas,20,0.2311,1.3,0.3005,15,0.1491,0.1938,2023-07-26,0.10669999999999999,35.50748752079866
Secadora,20,0.2311,2.0,0.4623,14,0.1505,0.301,2023-07-26,0.1613,34.89076357343716
